상호명,지점명,상권업종소분류명,표준산업분류명,행정동명,법정동명,지번주소,도로명주소,경도,위도
낫컴플리트,,카페,커피 전문점,혜화동,명륜2가,서울특별시 종로구 명륜2가 150-2,서울특별시 종로구 성균관로 12-5,126.998096085946,37.5842038954751
베로아로스터리망우점,,카페,커피 전문점,망우본동,망우동,서울특별시 중랑구 망우동 202-1,서울특별시 중랑구 망우로 464,127.103666096178,37.6001993497437
플랜터PLANTER247,,카페,커피 전문점,동선동,동선동3가,서울특별시 성북구 동선동3가 247,서울특별시 성북구 보문로34가길 1,127.019772168854,37.5915762016935
프랑세즈,,카페,커피 전문점,흑석동,흑석동,서울특별시 동작구 흑석동 8-37,서울특별시 동작구 현충로 96,126.964256794288,37.5079268166201
인디고플레이스,,카페,커피 전문점,화양동,화양동,서울특별시 광진구 화양동 29-22,서울특별시 광진구 능동로 154,127.073088363325,37.5445487607629
파리크라상잠바주스서울대,,카페,기타 비알코올 음료점업,이화동,연건동,서울특별시 종로구 연건동 28-21,서울특별시 종로구 대학로 101,126.997184076959,37.5804478224547
쁠랑,,카페,커피 전문점,서초3동,서초동,서울특별시 서초구 서초동 1576-1,서울특별시 서초구 반포대로22길 100,127.013576502948,37.4912199513645
매머드익스프레스보라매,,카페,커피 전문점,신대방2동,신대방동,서울특별시 동작구 신대방동 724,서울특별시 동작구 여의대방로22길 121,126.925091378122,37.4982150166568
겟블랙,,카페,커피 전문점,합정동,합정동,서울특별시 마포구 합정동 370-4,서울특별시 마포구 성지3길 22,126.914189331872,37.5466094550632
카페,,카페,커피 전문점,휘경1동,휘경동,서울특별시 동대문구 휘경동 150-25,서울특별시 동대문구 휘경로19길 11,127.06496434262,37.5951686029838
카페몰리한겨레점,,카페,커피 전문점,공덕동,공덕동,서울특별시 마포구 공덕동 116-25,서울특별시 마포구 효창목길 6,126.958805326967,37.5469752676018
어뮤즈그라운드,,카페,기타 비알코올 음료점업,남가좌2동,남가좌동,서울특별시 서대문구 남가좌동 338-40,서울특별시 서대문구 가재울로4길 67,126.924702575625,37.5765210193234
카페드림,,카페,커피 전문점,대학동,신림동,서울특별시 관악구 신림동 산56-1,서울특별시 관악구 관악로 1,126.959279517057,37.4680295491979
타임카페,,카페,커피 전문점,하계1동,하계동,서울특별시 노원구 하계동 274-1,서울특별시 노원구 공릉로59길 15,127.0710600064,37.6331415422171
압구정볶는커피,,카페,커피 전문점,대치1동,대치동,서울특별시 강남구 대치동 670,서울특별시 강남구 선릉로 206,127.055651897494,37.4914286178939
달솜,,카페,커피 전문점,성산2동,성산동,서울특별시 마포구 성산동 53-14,서울특별시 마포구 증산로 87,126.89500833334,37.5703360046612
가타커피,,카페,커피 전문점,송파1동,송파동,서울특별시 송파구 송파동 45-11,서울특별시 송파구 백제고분로45길 5-18,127.109884984844,37.5087175323614
카페리빈갤러리아포레점,,카페,커피 전문점,성수1가1동,성수동1가,서울특별시 성동구 성수동1가 685-696,서울특별시 성동구 서울숲2길 32-14,127.042893398502,37.5456684606712
커피베이행당점,,카페,커피 전문점,행당1동,행당동,서울특별시 성동구 행당동 140,서울특별시 성동구 고산자로6길 40,127.035455817503,37.5581685449559
제이어스에프엔비,,카페,개인 간병 및 유사 서비스업,구로5동,구로동,서울특별시 구로구 구로동 25,서울특별시 구로구 새말로 94,126.890479763955,37.5054637698116
하라핸즈커피,,카페,커피 전문점,잠실본동,잠실동,서울특별시 송파구 잠실동 182,서울특별시 송파구 올림픽로12길 4-15,127.082178358414,37.5110644986191
유로스커피로스터스센터필드점,,카페,커피 전문점,역삼1동,역삼동,서울특별시 강남구 역삼동 677-18,서울특별시 강남구 테헤란로37길 7,127.040624992691,37.5027779897681
아리스타과일,,카페,커피 전문점,명동,을지로2가,서울특별시 중구 을지로2가 1-1,서울특별시 중구 을지로 58,126.983974029951,37.5661074219495
후식,,카페,커피 전문점,망우본동,망우동,서울특별시 중랑구 망우동 495,서울특별시 중랑구 용마산로115길 109,127.094141411118,37.597441516093
빽다방KBS본관점,,카페,커피 전문점,여의동,여의도동,서울특별시 영등포구 여의도동 17,서울특별시 영등포구 의사당대로 38,126.91867384416,37.5260167593971
디어마이커피,,카페,커피 전문점,양평2동,양평동3가,서울특별시 영등포구 양평동3가 90-1,서울특별시 영등포구 선유로43가길 24,126.891996157818,37.5314190039604
브루테크네,,카페,커피 전문점,여의동,여의도동,서울특별시 영등포구 여의도동 36-2,서울특별시 영등포구 국제금융로6길 33,126.926894442607,37.520784593337
터치183,,카페,커피 전문점,방이1동,방이동,서울특별시 송파구 방이동 183,서울특별시 송파구 위례성대로 124,127.125474486499,37.5123391024089
카페마인드어스,,카페,커피 전문점,사당3동,사당동,서울특별시 동작구 사당동 1159,서울특별시 동작구 사당로23길 112,126.973456680751,37.487787537494
아리카페,,카페,커피 전문점,안암동,안암동5가,서울특별시 성북구 안암동5가 1-2,서울특별시 성북구 안암로 145,127.031701809695,37.5884849860916
매머드익스프레스,,카페,커피 전문점,상봉2동,상봉동,서울특별시 중랑구 상봉동 81-5,서울특별시 중랑구 망우로 346,127.09135554891,37.5974471326209
발렙,,카페,커피 전문점,역삼1동,역삼동,서울특별시 강남구 역삼동 700-14,서울특별시 강남구 언주로98길 12,127.04263366211,37.5049027558473
비바체,,카페,커피 전문점,구의3동,구의동,서울특별시 광진구 구의동 200-19,서울특별시 광진구 광나루로52길 11,127.094789510288,37.5411038928542
빈웍스,,카페,커피 전문점,구로3동,구로동,서울특별시 구로구 구로동 184-1,서울특별시 구로구 디지털로33길 12,126.896142027835,37.4865407988684
광흥창카페,,카페,커피 전문점,서강동,창전동,서울특별시 마포구 창전동 108-3,서울특별시 마포구 서강로1길 12-6,126.931211002312,37.5488731930567
레스티오도서관점,,카페,커피 전문점,화양동,화양동,서울특별시 광진구 화양동 1,서울특별시 광진구 능동로 120,127.074695272526,37.5390559369817
카페그린,,카페,커피 전문점,왕십리도선동,하왕십리동,서울특별시 성동구 하왕십리동 1070,서울특별시 성동구 왕십리로 410,127.024062147888,37.5665447401941
둔촌커피,,카페,커피 전문점,둔촌2동,둔촌동,서울특별시 강동구 둔촌동 50-1,서울특별시 강동구 명일로 171,127.14460246017,37.5341226127962
코드101,,카페,커피 전문점,보라매동,봉천동,서울특별시 관악구 봉천동 972-1,서울특별시 관악구 보라매로 7,126.927367388232,37.4901082487637
이디야뚝섬유원지역점,,카페,커피 전문점,자양4동,자양동,서울특별시 광진구 자양동 65-1,서울특별시 광진구 능동로 21,127.067227779555,37.5335458217646
스멜비,,카페,커피 전문점,왕십리2동,하왕십리동,서울특별시 성동구 하왕십리동 989-25,서울특별시 성동구 무학봉15다길 4,127.030535270573,37.5623090976687
카페인중독,,카페,커피 전문점,수유3동,수유동,서울특별시 강북구 수유동 188-2,서울특별시 강북구 한천로 1081,127.022945107968,37.6424660535183
바디쉐프지밸리몰점,,카페,기타 비알코올 음료점업,구로3동,구로동,서울특별시 구로구 구로동 188-25,서울특별시 구로구 디지털로 300,126.89652780139,37.4849135072657
차팅,,카페,기타 비알코올 음료점업,연희동,연희동,서울특별시 서대문구 연희동 79-8,서울특별시 서대문구 연희로26길 10,126.936144047423,37.5728313228951
카페게이트망원역점,,카페,커피 전문점,망원1동,망원동,서울특별시 마포구 망원동 378-11,서울특별시 마포구 월드컵로 67,126.910467365532,37.5550809747101
토프레소서울대,,카페,커피 전문점,중앙동,봉천동,서울특별시 관악구 봉천동 873-30,서울특별시 관악구 봉천로 451,126.950245625935,37.4826818528762
카페샌프란시스코,,카페,커피 전문점,회현동,남대문로5가,서울특별시 중구 남대문로5가 827,서울특별시 중구 소월로2길 30,126.975593738492,37.5539880665663
로프커피,,카페,커피 전문점,군자동,군자동,서울특별시 광진구 군자동 464-2,서울특별시 광진구 동일로 304,127.073461978063,37.5582476577619
카페메이,,카페,커피 전문점,중화2동,중화동,서울특별시 중랑구 중화동 307-68,서울특별시 중랑구 동일로 833-8,127.078217874458,37.6049050097517
달리는커피강남,,카페,"피자, 햄버거, 샌드위치 및 유사 음식점업",논현1동,논현동,서울특별시 강남구 논현동 158-32,서울특별시 강남구 학동로20길 67,127.026603650287,37.5095112913109
타이거,,카페,커피 전문점,수서동,수서동,서울특별시 강남구 수서동 713,서울특별시 강남구 밤고개로1길 10,127.101830759377,37.4880132769347
에그카페,,카페,커피 전문점,오류1동,오류동,서울특별시 구로구 오류동 13-11,서울특별시 구로구 경인로19길 35,126.84233372584,37.4972978137498
현커피숍,,카페,기타 비알코올 음료점업,면목7동,면목동,서울특별시 중랑구 면목동 523-10,서울특별시 중랑구 사가정로 429,127.092329063015,37.5806951697169
장수카페,,카페,커피 전문점,군자동,군자동,서울특별시 광진구 군자동 65-3,서울특별시 광진구 군자로 140,127.074995443774,37.5541418846868
에이그레이트까페,,카페,커피 전문점,가산동,가산동,서울특별시 금천구 가산동 371-59,서울특별시 금천구 가산디지털1로 149,126.88184149489,37.4787293980852
슬로우포레스트,,카페,기타 비알코올 음료점업,삼청동,팔판동,서울특별시 종로구 팔판동 100-2,서울특별시 종로구 삼청로5길 20,126.980758144592,37.5828030120679
지체장애인협회강동구지회강동꿈드래마켓,,카페,기타 비알코올 음료점업,암사2동,암사동,서울특별시 강동구 암사동 139-2,서울특별시 강동구 올림픽로 875,127.130816567758,37.5598461786543
튤립제과,,카페,커피 전문점,서강동,창전동,서울특별시 마포구 창전동 2-41,서울특별시 마포구 서강로11길 15,126.932661872512,37.5534726126148
어치브먼트,,카페,커피 전문점,휘경2동,휘경동,서울특별시 동대문구 휘경동 294-163,서울특별시 동대문구 망우로18다길 19,127.060884022039,37.5864501470011
컴포즈커피,,카페,커피 전문점,신정3동,신정동,서울특별시 양천구 신정동 1326,서울특별시 양천구 중앙로43길 14,126.851320869,37.5204071233706
더벤티을지로6가점,,카페,커피 전문점,광희동,을지로6가,서울특별시 중구 을지로6가 23-19,서울특별시 중구 을지로 252-2,127.006171403513,37.5661251739343
소적두,,카페,커피 전문점,성수1가2동,성수동1가,서울특별시 성동구 성수동1가 13-316,서울특별시 성동구 상원6길 8,127.049046371595,37.5485925212476
하이히얼,,카페,커피 전문점,석관동,석관동,서울특별시 성북구 석관동 384-19,서울특별시 성북구 화랑로40길 37,127.063545968176,37.6134665258125
비기프티드,,카페,커피 전문점,위례동,거여동,서울특별시 송파구 거여동 654,서울특별시 송파구 위례송파로 124,127.146617438364,37.4843625648223
클러스터,,카페,커피 전문점,석촌동,석촌동,서울특별시 송파구 석촌동 243-14,서울특별시 송파구 가락로5길 11,127.101751535987,37.5002941325331
카페메이,,카페,커피 전문점,성수2가3동,성수동2가,서울특별시 성동구 성수동2가 299-155,서울특별시 성동구 성수일로12길 19-1,127.053416885105,37.548420397819
24시무인셀프카페,,카페,커피 전문점,사당2동,사당동,서울특별시 동작구 사당동 71-1,서울특별시 동작구 동작대로35길 21,126.981091355693,37.4909712733964
압생트인서울,,카페,커피 전문점,삼성2동,삼성동,서울특별시 강남구 삼성동 39-8,서울특별시 강남구 선릉로112길 19,127.045172353855,37.5116001206261
광합성카페,,카페,커피 전문점,망원1동,망원동,서울특별시 마포구 망원동 57-36,서울특별시 마포구 월드컵로19길 8,126.908446134584,37.5570896401042
로쿠커피,,카페,커피 전문점,구로3동,구로동,서울특별시 구로구 구로동 222-14,서울특별시 구로구 디지털로26길 61,126.895283370784,37.4811174778094
박스프레소,,카페,커피 전문점,서초2동,서초동,서울특별시 서초구 서초동 1362-18,서울특별시 서초구 강남대로37길 24,127.032293375453,37.4849502133356
빽다방수서역점,,카페,커피 전문점,수서동,수서동,서울특별시 강남구 수서동 713,서울특별시 강남구 밤고개로1길 10,127.101830759377,37.4880132769347
하윌라,,카페,커피 전문점,성내1동,성내동,서울특별시 강동구 성내동 434-48,서울특별시 강동구 성안로 37,127.130233448574,37.5272326991206
봉카페,,카페,커피 전문점,서교동,서교동,서울특별시 마포구 서교동 327-35,서울특별시 마포구 와우산로29길 4-14,126.929722218666,37.5548516234431
뮤츄얼,,카페,커피 전문점,성북동,성북동,서울특별시 성북구 성북동 184-84,서울특별시 성북구 성북로 24,127.004504192525,37.5901779483411
만랩커피동평화패션타운점,,카페,커피 전문점,신당동,신당동,서울특별시 중구 신당동 217-102,서울특별시 중구 마장로1길 28-21,127.013204097685,37.56931078923
카페시카고,,카페,커피 전문점,휘경2동,휘경동,서울특별시 동대문구 휘경동 286-1,서울특별시 동대문구 망우로18가길 3,127.062433327723,37.5893097628269
홍콩다방홍대입구역점,,카페,기타 비알코올 음료점업,서교동,동교동,서울특별시 마포구 동교동 166-11,서울특별시 마포구 양화로18길 9,126.924680749371,37.5567790903014
간삼기획,,카페,커피 전문점,다산동,신당동,서울특별시 중구 신당동 407-27,서울특별시 중구 동호로20다길 16,127.009361869153,37.5585561854808
크로플바니,,카페,커피 전문점,송천동,미아동,서울특별시 강북구 미아동 415-5,서울특별시 강북구 솔샘로64길 2,127.027198008787,37.6169748638001
더벤티정릉,,카페,커피 전문점,정릉2동,정릉동,서울특별시 성북구 정릉동 227-73,서울특별시 성북구 서경로 77,127.014715751191,37.6100774814077
카페마실로,,카페,커피 전문점,대림3동,대림동,서울특별시 영등포구 대림동 744-12,서울특별시 영등포구 도림로53길 34-1,126.899775954138,37.4985856465259
카페이퍼스,,카페,커피 전문점,양재1동,양재동,서울특별시 서초구 양재동 68-7,서울특별시 서초구 바우뫼로33길 7-8,127.037166741109,37.477907711197
마라나타,,카페,커피 전문점,수궁동,궁동,서울특별시 구로구 궁동 189-69,서울특별시 구로구 부일로 969,126.834872067949,37.4935121644522
에그허그,,카페,커피 전문점,광장동,광장동,서울특별시 광진구 광장동 245-7,서울특별시 광진구 천호대로143길 8-5,127.10326249448,37.5460432392924
콘레드커피,,카페,커피 전문점,월계1동,월계동,서울특별시 노원구 월계동 465-11,서울특별시 노원구 광운로 27,127.058307248306,37.6202096647373
투썸플레이스,,카페,커피 전문점,신길4동,신길동,서울특별시 영등포구 신길동 4902-7,서울특별시 영등포구 신길로 162,126.911352638866,37.5066491383502
그린랩,,카페,커피 전문점,성수1가2동,성수동1가,서울특별시 성동구 성수동1가 685-450,서울특별시 성동구 서울숲2길 18-11,127.040558518063,37.5468388964723
엠티엘컴퍼니,,카페,커피 전문점,한남동,한남동,서울특별시 용산구 한남동 743-8,서울특별시 용산구 이태원로49길 24,126.999043173573,37.5371233805831
빽다방화양,,카페,커피 전문점,성수2가3동,성수동2가,서울특별시 성동구 성수동2가 281-16,서울특별시 성동구 아차산로17길 57,127.065707787841,37.5474550508205
컴포즈커피문래SK,,카페,커피 전문점,문래동,문래동6가,서울특별시 영등포구 문래동6가 19,서울특별시 영등포구 선유로9길 10,126.887187035096,37.5177500478573
바그,,카페,커피 전문점,원효로1동,원효로2가,서울특별시 용산구 원효로2가 76-12,서울특별시 용산구 원효로63길 18,126.963578154782,37.5373670767074
레인보우식스,,카페,커피 전문점,서교동,동교동,서울특별시 마포구 동교동 177-17,서울특별시 마포구 와우산로37길 32,126.929256518793,37.5565503654321
카페그대로,,카페,커피 전문점,신길6동,신길동,서울특별시 영등포구 신길동 3962-6,서울특별시 영등포구 대방천로 211-8,126.914624314257,37.498632904479
팔공티,,카페,기타 비알코올 음료점업,신촌동,대현동,서울특별시 서대문구 대현동 60-8,서울특별시 서대문구 이화여대길 48,126.945858923752,37.5590424717547
아임그린떡케이크하우스,,카페,커피 전문점,성북동,성북동,서울특별시 성북구 성북동 217-25,서울특별시 성북구 성북로23나길 4,126.99282373569,37.5923224414141
어버드커피,,카페,커피 전문점,월곡2동,상월곡동,서울특별시 성북구 상월곡동 23-157,서울특별시 성북구 화랑로 177-1,127.050063926201,37.6074839873517
와리가리커피,,카페,커피 전문점,논현1동,논현동,서울특별시 강남구 논현동 148-10,서울특별시 강남구 학동로20길 42,127.027547099771,37.5108976740029
루나모디카,,카페,커피 전문점,대치4동,대치동,서울특별시 강남구 대치동 901-70,서울특별시 강남구 역삼로77길 21,127.055937272752,37.5037934033906
트리플에이커피공릉역점,,카페,커피 전문점,공릉1동,공릉동,서울특별시 노원구 공릉동 323-10,서울특별시 노원구 동일로 1093,127.07171869013,37.627551278099
몽바커피,,카페,커피 전문점,역삼1동,역삼동,서울특별시 강남구 역삼동 646-11,서울특별시 강남구 테헤란로21길 8,127.034577100333,37.5007914478071
얀앤욘,,카페,커피 전문점,대흥동,대흥동,서울특별시 마포구 대흥동 20-10,서울특별시 마포구 대흥로21길 11,126.945170268979,37.5532966927114
커피베이남영역점,,카페,커피 전문점,남영동,갈월동,서울특별시 용산구 갈월동 101-49,서울특별시 용산구 한강대로 259,126.972391550719,37.5415708874019
온더코너,,카페,커피 전문점,화양동,화양동,서울특별시 광진구 화양동 44-1,서울특별시 광진구 아차산로21길 44,127.065911850635,37.5437983995317
