상호명,지점명,상권업종소분류명,표준산업분류명,행정동명,법정동명,지번주소,도로명주소,경도,위도,url,운영시간,dist
카페1993,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 131-2,서울특별시 종로구 삼일대로30길 34,126.989479413529,37.5741829562851,https://place.map.kakao.com/1314146271,[],0.4432
커피베이하나손해보험점,,카페,커피 전문점,종로1.2.3.4가동,인의동,서울특별시 종로구 인의동 112-1,서울특별시 종로구 창경궁로 117,126.997082905963,37.5727971222649,https://place.map.kakao.com/272805531,"['월,토,일요일']",0.4489
초콜릿아일랜드인,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,와룡동,서울특별시 종로구 와룡동 74,서울특별시 종로구 돈화문로 72,126.991020817848,37.5748899427999,https://place.map.kakao.com/2014192733,"['월~금', '11:00 ~ 18:00', '토', '12:00 ~ 17:00', '이용시 주의 사항', '일요일 구정 추석 휴무']",0.4515
쪼꼬커피,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 87-2,서울특별시 종로구 돈화문로11나길 42,126.989984042928,37.5745386810227,https://place.map.kakao.com/921065817,"['월~금', '10:00 ~ 21:00', '토,일', '10:00 ~ 19:00', '공휴일', '10:00 ~ 19:00']",0.4518
카페해오름,,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 288,서울특별시 종로구 삼일대로 428,126.987879877214,37.5727546183995,https://place.map.kakao.com/689788650,[],0.4526
매머드익스프레스익선동점,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 137-2,서울특별시 종로구 삼일대로30길 28,126.989174884582,37.5740992553358,https://place.map.kakao.com/1775427821,"['월~토', '08:00 ~ 20:00', '일', '10:00 ~ 18:00']",0.4528
매머드익스프레스종로창경궁로점,,카페,커피 전문점,종로1.2.3.4가동,인의동,서울특별시 종로구 인의동 111-7,서울특별시 종로구 창경궁로 113,126.997425140957,37.5726018000953,https://place.map.kakao.com/343930974,"['월~금', '07:00 ~ 18:00', '토,일', '08:00 ~ 16:00']",0.4675
밀탑인사동N285호텔점,,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 285,서울특별시 종로구 삼일대로 423,126.98739876211,37.572336013507,https://place.map.kakao.com/1858942659,"['매일', '10:00 ~ 22:00']",0.4747
불라여행카페,,카페,커피 전문점,종로1.2.3.4가동,종로2가,서울특별시 종로구 종로2가 22-2,서울특별시 종로구 종로 85-1,126.987107571545,37.5704323180944,https://place.map.kakao.com/12072531,"['매일', '11:00 ~ 23:59', '이용시 주의 사항', '연중무휴']",0.4811
인사동가는길,,카페,커피 전문점,종로1.2.3.4가동,인사동,서울특별시 종로구 인사동 34-16,서울특별시 종로구 인사동길 20-20,126.987362486825,37.572506900174,https://place.map.kakao.com/8053121,[],0.484
이디야커피,,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 45-3,서울특별시 종로구 삼일대로 436-1,126.988004369724,37.573593653983,https://place.map.kakao.com/10748907,"['월~금', '08:00 ~ 23:10', '토', '08:30 ~ 23:10', '일', '09:30 ~ 22:10', '공휴일', '08:30 ~ 23:10']",0.4909
제로커피광장,,카페,커피 전문점,종로1.2.3.4가동,예지동,서울특별시 종로구 예지동 25-2,서울특별시 종로구 창경궁로 86,126.998015149788,37.5699667559366,https://place.map.kakao.com/346137470,"['매일', '07:30 ~ 19:00']",0.4981
