상호명,지점명,상권업종소분류명,표준산업분류명,행정동명,법정동명,지번주소,도로명주소,경도,위도,url,운영시간
미러볼커피스탠드,,카페,커피 전문점,종로1.2.3.4가동,원남동,서울특별시 종로구 원남동 84-2,서울특별시 종로구 창경궁로 142,126.997619403732,37.5750002208613,https://place.map.kakao.com/2049972099,"['월~금', '07:40 ~ 18:30', '휴무일', '토,일요일', '공휴일']"
제로커피광장,,카페,커피 전문점,종로1.2.3.4가동,예지동,서울특별시 종로구 예지동 25-2,서울특별시 종로구 창경궁로 86,126.998015149788,37.5699667559366,https://place.map.kakao.com/346137470,"['매일', '07:30 ~ 19:00']"
커피점방,,카페,커피 전문점,종로1.2.3.4가동,관철동,서울특별시 종로구 관철동 173-1,서울특별시 종로구 삼일대로17길 44,126.985052235439,37.5692343009193,https://place.map.kakao.com/26967041,"['월~금', '07:30 ~ 16:00', '휴무일', '토,일요일']"
브루다인사동,,카페,커피 전문점,종로1.2.3.4가동,공평동,서울특별시 종로구 공평동 9,서울특별시 종로구 우정국로 36,126.983257791527,37.5721652644005,https://place.map.kakao.com/1815826504,"['월~금', '07:00 ~ 17:00', '토,일', '08:00 ~ 18:00']"
누구나,,카페,커피 전문점,종로1.2.3.4가동,관철동,서울특별시 종로구 관철동 45-1,서울특별시 종로구 우정국로2길 21,126.984264884481,37.5696960706638,https://place.map.kakao.com/1200778275,"['월~금', '09:00 ~ 22:00', '토,일', '10:00 ~ 21:00', '이용시 주의 사항', '연중무휴']"
루스카,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 166-28,서울특별시 종로구 수표로28길 35,126.990228802461,37.5731802026962,https://place.map.kakao.com/68035947,"['월~목', '11:00 ~ 22:30', '금~일', '10:00 ~ 22:30']"
디톡앤커피,,카페,커피 전문점,종로1.2.3.4가동,종로1가,서울특별시 종로구 종로1가 24,서울특별시 종로구 종로 19,126.979902392746,37.5708388183663,https://place.map.kakao.com/37371264,[]
부티크상점,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,돈의동,서울특별시 종로구 돈의동 18,서울특별시 종로구 돈화문로11다길 15,126.990536247607,37.5730476759366,https://place.map.kakao.com/1924435540,[]
매머드익스프레스관철동점,,카페,커피 전문점,종로1.2.3.4가동,관철동,서울특별시 종로구 관철동 7-20,서울특별시 종로구 삼일대로 383,126.987366126204,37.5688937550265,https://place.map.kakao.com/150549313,"['월~금', '07:30 ~ 18:00', '토,일', '11:00 ~ 18:00']"
물드니,,카페,커피 전문점,종로1.2.3.4가동,관철동,서울특별시 종로구 관철동 16-10,서울특별시 종로구 종로10길 5,126.984500743322,37.5698332559995,https://place.map.kakao.com/656913620,"['매일', '10:00 ~ 21:00', '매일 라스트오더', '~ 20:30']"
멀티익스프레스커피,,카페,커피 전문점,종로1.2.3.4가동,종로2가,서울특별시 종로구 종로2가 8-4,서울특별시 종로구 종로 65,126.984695797782,37.5704746731005,https://place.map.kakao.com/1298309425,[]
이디야종로삼일대로점,,카페,커피 전문점,종로1.2.3.4가동,관철동,서울특별시 종로구 관철동 5-14,서울특별시 종로구 삼일대로 390-1,126.987947381042,37.5694393645282,https://place.map.kakao.com/1454135017,"['월~금', '08:00 ~ 22:00', '토', '09:00 ~ 22:30', '일', '10:00 ~ 21:00', '공휴일', '10:00 ~ 21:00']"
한옥랑솜익선동카페,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 166-40,서울특별시 종로구 수표로28길 21-6,126.989809623496,37.5732036475903,https://place.map.kakao.com/576866836,"['매일', '10:30 ~ 22:30']"
경성다방,,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 211,서울특별시 종로구 수표로 115-1,126.989004628888,37.5716199338049,https://place.map.kakao.com/740154705,[]
빽다방종로,,카페,커피 전문점,종로1.2.3.4가동,수송동,서울특별시 종로구 수송동 58,서울특별시 종로구 삼봉로 81,126.981794436761,37.5723869222964,https://place.map.kakao.com/27098543,"['월~금', '07:30 ~ 22:30', '토', '08:30 ~ 22:30', '일', '11:00 ~ 21:00', '이용시 주의 사항', '연중무휴']"
카페헐리우드,,카페,커피 전문점,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 192-21,서울특별시 종로구 인사동9길 16,126.984120856948,37.5736323809974,https://place.map.kakao.com/18754957,"['월~금', '07:00 ~ 18:00', '토', '10:00 ~ 18:00', '월~토 라스트오더', '~ 17:50', '휴무일', '일요일']"
지중해,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 146-1,서울특별시 종로구 종로 138-1,126.992963921879,37.570149035335,https://place.map.kakao.com/11155554,[]
